data_origin,date,terms,counts,scaled_counts,total_tokens,title
Computers and the Humanities,1966-09-01,network,0,0.0,4176,Computers and the Humanities
Computers and the Humanities,1966-09-01,network analysis,0,0.0,4176,Computers and the Humanities
Computers and the Humanities,1966-11-01,network,0,0.0,23526,Computers and the Humanities
Computers and the Humanities,1966-11-01,network analysis,0,0.0,23526,Computers and the Humanities
Computers and the Humanities,1967-01-01,network,1,0.14306151645207438,15418,Computers and the Humanities
Computers and the Humanities,1967-01-01,network analysis,0,0.0,15418,Computers and the Humanities
Computers and the Humanities,1967-03-01,network,0,0.0,23532,Computers and the Humanities
Computers and the Humanities,1967-03-01,network analysis,0,0.0,23532,Computers and the Humanities
Computers and the Humanities,1967-05-01,network,0,0.0,59682,Computers and the Humanities
Computers and the Humanities,1967-05-01,network analysis,0,0.0,59682,Computers and the Humanities
Computers and the Humanities,1967-09-01,network,1,0.02153316106804479,36522,Computers and the Humanities
Computers and the Humanities,1967-09-01,network analysis,0,0.0,36522,Computers and the Humanities
Computers and the Humanities,1967-11-01,network,4,0.32516164575354556,37830,Computers and the Humanities
Computers and the Humanities,1967-11-01,network analysis,0,0.0,37830,Computers and the Humanities
Computers and the Humanities,1968-01-01,network,1,0.017761989342806393,14696,Computers and the Humanities
Computers and the Humanities,1968-01-01,network analysis,0,0.0,14696,Computers and the Humanities
Computers and the Humanities,1968-03-01,network,0,0.0,48902,Computers and the Humanities
Computers and the Humanities,1968-03-01,network analysis,0,0.0,48902,Computers and the Humanities
Computers and the Humanities,1968-05-01,network,1,0.008715356458079134,23958,Computers and the Humanities
Computers and the Humanities,1968-05-01,network analysis,0,0.0,23958,Computers and the Humanities
Computers and the Humanities,1968-09-01,network,0,0.0,30716,Computers and the Humanities
Computers and the Humanities,1968-09-01,network analysis,0,0.0,30716,Computers and the Humanities
Computers and the Humanities,1968-11-01,network,8,0.7692334038822859,32348,Computers and the Humanities
Computers and the Humanities,1968-11-01,network analysis,0,0.0,32348,Computers and the Humanities
Computers and the Humanities,1969-01-01,network,0,0.0,28344,Computers and the Humanities
Computers and the Humanities,1969-01-01,network analysis,0,0.0,28344,Computers and the Humanities
Computers and the Humanities,1969-03-01,network,0,0.0,26946,Computers and the Humanities
Computers and the Humanities,1969-03-01,network analysis,0,0.0,26946,Computers and the Humanities
Computers and the Humanities,1969-05-01,network,0,0.0,46188,Computers and the Humanities
Computers and the Humanities,1969-05-01,network analysis,0,0.0,46188,Computers and the Humanities
Computers and the Humanities,1969-09-01,network,5,0.5780236319893389,79176,Computers and the Humanities
Computers and the Humanities,1969-09-01,network analysis,0,0.0,79176,Computers and the Humanities
Computers and the Humanities,1969-11-01,network,0,0.0,30440,Computers and the Humanities
Computers and the Humanities,1969-11-01,network analysis,0,0.0,30440,Computers and the Humanities
Computers and the Humanities,1970-01-01,network,2,0.09556020315611011,34290,Computers and the Humanities
Computers and the Humanities,1970-01-01,network analysis,0,0.0,34290,Computers and the Humanities
Computers and the Humanities,1970-03-01,network,3,0.273972602739726,15786,Computers and the Humanities
Computers and the Humanities,1970-03-01,network analysis,0,0.0,15786,Computers and the Humanities
Computers and the Humanities,1970-05-01,network,2,0.11013215859030838,32002,Computers and the Humanities
Computers and the Humanities,1970-05-01,network analysis,0,0.0,32002,Computers and the Humanities
Computers and the Humanities,1970-09-01,network,2,0.2922143921940642,40058,Computers and the Humanities
Computers and the Humanities,1970-09-01,network analysis,0,0.0,40058,Computers and the Humanities
Computers and the Humanities,1970-11-01,network,0,0.0,39638,Computers and the Humanities
Computers and the Humanities,1970-11-01,network analysis,0,0.0,39638,Computers and the Humanities
Computers and the Humanities,1971-01-01,network,6,0.12257405515832481,28346,Computers and the Humanities
Computers and the Humanities,1971-01-01,network analysis,0,0.0,28346,Computers and the Humanities
Computers and the Humanities,1971-03-01,network,1,0.08944543828264759,28418,Computers and the Humanities
Computers and the Humanities,1971-03-01,network analysis,0,0.0,28418,Computers and the Humanities
Computers and the Humanities,1971-05-01,network,1,0.007518796992481203,36940,Computers and the Humanities
Computers and the Humanities,1971-05-01,network analysis,0,0.0,36940,Computers and the Humanities
Computers and the Humanities,1971-09-01,network,0,0.0,52888,Computers and the Humanities
Computers and the Humanities,1971-09-01,network analysis,0,0.0,52888,Computers and the Humanities
Computers and the Humanities,1971-11-01,network,1,0.017003910899506886,36214,Computers and the Humanities
Computers and the Humanities,1971-11-01,network analysis,0,0.0,36214,Computers and the Humanities
Computers and the Humanities,1972-01-01,network,0,0.0,21328,Computers and the Humanities
Computers and the Humanities,1972-01-01,network analysis,0,0.0,21328,Computers and the Humanities
Computers and the Humanities,1972-03-01,network,1,0.08103727714748785,23550,Computers and the Humanities
Computers and the Humanities,1972-03-01,network analysis,0,0.0,23550,Computers and the Humanities
Computers and the Humanities,1972-05-01,network,1,0.010013016921998599,25918,Computers and the Humanities
Computers and the Humanities,1972-05-01,network analysis,0,0.0,25918,Computers and the Humanities
Computers and the Humanities,1972-09-01,network,3,0.08940257097654918,61748,Computers and the Humanities
Computers and the Humanities,1972-09-01,network analysis,0,0.0,61748,Computers and the Humanities
Computers and the Humanities,1972-11-01,network,1,0.12706480304955528,40240,Computers and the Humanities
Computers and the Humanities,1972-11-01,network analysis,0,0.0,40240,Computers and the Humanities
Computers and the Humanities,1973-01-01,network,1,0.023980815347721823,27820,Computers and the Humanities
Computers and the Humanities,1973-01-01,network analysis,0,0.0,27820,Computers and the Humanities
Computers and the Humanities,1973-03-01,network,0,0.0,40990,Computers and the Humanities
Computers and the Humanities,1973-03-01,network analysis,0,0.0,40990,Computers and the Humanities
Computers and the Humanities,1973-05-01,network,0,0.0,38430,Computers and the Humanities
Computers and the Humanities,1973-05-01,network analysis,0,0.0,38430,Computers and the Humanities
Computers and the Humanities,1973-09-01,network,5,0.09741228684671514,89876,Computers and the Humanities
Computers and the Humanities,1973-09-01,network analysis,0,0.0,89876,Computers and the Humanities
Computers and the Humanities,1974-01-01,network,1,0.010926573426573426,44250,Computers and the Humanities
Computers and the Humanities,1974-01-01,network analysis,0,0.0,44250,Computers and the Humanities
Computers and the Humanities,1974-03-01,network,1,0.06146281499692685,32978,Computers and the Humanities
Computers and the Humanities,1974-03-01,network analysis,0,0.0,32978,Computers and the Humanities
Computers and the Humanities,1974-05-01,network,5,0.0852893101833168,38320,Computers and the Humanities
Computers and the Humanities,1974-05-01,network analysis,0,0.0,38320,Computers and the Humanities
Computers and the Humanities,1974-07-01,network,3,0.05789853630663585,33510,Computers and the Humanities
Computers and the Humanities,1974-07-01,network analysis,0,0.0,33510,Computers and the Humanities
Computers and the Humanities,1974-09-01,network,1,0.02157962883038412,68460,Computers and the Humanities
Computers and the Humanities,1974-09-01,network analysis,0,0.0,68460,Computers and the Humanities
Computers and the Humanities,1975-01-01,network,2,0.04553734061930783,38918,Computers and the Humanities
Computers and the Humanities,1975-01-01,network analysis,0,0.0,38918,Computers and the Humanities
Computers and the Humanities,1975-03-01,network,5,0.29033886437283224,34076,Computers and the Humanities
Computers and the Humanities,1975-03-01,network analysis,0,0.0,34076,Computers and the Humanities
Computers and the Humanities,1975-05-01,network,0,0.0,52780,Computers and the Humanities
Computers and the Humanities,1975-05-01,network analysis,0,0.0,52780,Computers and the Humanities
Computers and the Humanities,1975-07-01,network,1,0.199203187250996,12556,Computers and the Humanities
Computers and the Humanities,1975-07-01,network analysis,0,0.0,12556,Computers and the Humanities
Computers and the Humanities,1975-09-01,network,0,0.0,47016,Computers and the Humanities
Computers and the Humanities,1975-09-01,network analysis,0,0.0,47016,Computers and the Humanities
Computers and the Humanities,1975-11-01,network,15,0.7173220684287791,32078,Computers and the Humanities
Computers and the Humanities,1975-11-01,network analysis,0,0.0,32078,Computers and the Humanities
Computers and the Humanities,1976-01-01,network,1,0.03508771929824561,59056,Computers and the Humanities
Computers and the Humanities,1976-01-01,network analysis,0,0.0,59056,Computers and the Humanities
Computers and the Humanities,1976-03-01,network,3,0.15052684395383845,65568,Computers and the Humanities
Computers and the Humanities,1976-03-01,network analysis,0,0.0,65568,Computers and the Humanities
Computers and the Humanities,1976-05-01,network,0,0.0,35800,Computers and the Humanities
Computers and the Humanities,1976-05-01,network analysis,0,0.0,35800,Computers and the Humanities
Computers and the Humanities,1976-07-01,network,6,0.23555658683545844,46578,Computers and the Humanities
Computers and the Humanities,1976-07-01,network analysis,0,0.0,46578,Computers and the Humanities
Computers and the Humanities,1976-09-01,network,30,1.6723126061832425,62714,Computers and the Humanities
Computers and the Humanities,1976-09-01,network analysis,0,0.0,62714,Computers and the Humanities
Computers and the Humanities,1976-11-01,network,0,0.0,44378,Computers and the Humanities
Computers and the Humanities,1976-11-01,network analysis,0,0.0,44378,Computers and the Humanities
Computers and the Humanities,1977-01-01,network,2,0.08560745671241561,50932,Computers and the Humanities
Computers and the Humanities,1977-01-01,network analysis,0,0.0,50932,Computers and the Humanities
Computers and the Humanities,1977-03-01,network,1,0.06397952655150352,70182,Computers and the Humanities
Computers and the Humanities,1977-03-01,network analysis,0,0.0,70182,Computers and the Humanities
Computers and the Humanities,1977-05-01,network,0,0.0,25990,Computers and the Humanities
Computers and the Humanities,1977-05-01,network analysis,0,0.0,25990,Computers and the Humanities
